-0.002273973,0.00090411,0,0,0.001369863,0,0,0,0,0,0,0,0
0,-0.003534247,0.000794521,0,0,0.002739726,0,0,0,0,0,0,0
0,0,-0.004109589,0.001369863,0,0,0.002739726,0,0,0,0,0,0
0.00030137,0,0,-0.00030137,0,0,0,0,0,0,0,0,0
24,0,0,0,-24,0,0,0,0,0,0,0,0
0,0,0,0,0,-24,0,0,0,24,0,0,0
0,0,0,0,0,0,-24,0,0,0,0,2.4,21.6
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.44,0.01,0,0,0,0,0,0,-1,0.05,0,0
0.18,0.02,0,0,0,0,0,0,0,0,-0.2,0,0
0,0.1,0.1,0,0,0,0,0,0,0,0,-1,0.8
0.18,0.02,0,0,0,0,0,0,0,0,0,0,-0.2
